Date        Month        Channel        Owner        Brand        Pack Size        Pack Type        SKU        Price Tier        Unit Sales        Sales Value        Distribution        Cost of Sales        Price        Gross Profit        Indirect Costs        Operating Profit        Unit Sales Monthly Change        Sales Value Monthly Change        Distribution Monthly Change        Cost of Sales Monthly Change        Price Monthly Change        Gross Profit Monthly Change        Indirect Costs Monthly Change        Operating Profit Monthly Change
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Epsilon        12        Standard        Epsilon 12 Pack Standard        Budget        1207        63214        82.07        160.6        52.37        63053.4        58869.6        4183.8        1207        63214        82.07        160.6        52.37        63053.4        58869.6        4183.8
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Iota        12        Giftset        Iota 12 Pack Giftset        Regular        610        55730        93.91        141.59        91.36        55588.41        51899.59        3688.82        610        55730        93.91        141.59        91.36        55588.41        51899.59        3688.82
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Iota        12        Standard        Iota 12 Pack Standard        Regular        1096        90079        95.69        228.85        82.19        89850.15        83887.66        5962.49        1096        90079        95.69        228.85        82.19        89850.15        83887.66        5962.49
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Lambda        8        Standard        Lambda 8 Pack Standard        Budget        469        30940        73.82        78.61        65.97        30861.39        28813.73        2047.66        469        30940        73.82        78.61        65.97        30861.39        28813.73        2047.66
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Lambda        12        Standard        Lambda 12 Pack Standard        Budget        2948        168473        99.48        428.02        57.15        168044.98        156894.53        11150.45        2948        168473        99.48        428.02        57.15        168044.98        156894.53        11150.45
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Mu        12        Standard        Mu 12 Pack Standard        Premium        105        16874        25.45        42.87        160.7        16831.13        15714.65        1116.48        105        16874        25.45        42.87        160.7        16831.13        15714.65        1116.48
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        6        Standard        Theta 6 Pack Standard        Regular        133        12991        16.45        33.01        97.68        12957.99        12098.34        859.65        133        12991        16.45        33.01        97.68        12957.99        12098.34        859.65
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        8        Standard        Theta 8 Pack Standard        Regular        890        77897        99.34        197.9        87.52        77699.1        72543.1        5156        890        77897        99.34        197.9        87.52        77699.1        72543.1        5156
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        12        Deluxe        Theta 12 Pack Deluxe        Regular        1693        130549        94.55        331.67        77.11        130217.33        121576.23        8641.1        1693        130549        94.55        331.67        77.11        130217.33        121576.23        8641.1
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        12        Giftset        Theta 12 Pack Giftset        Regular        6623        506206        99.42        1286.07        76.43        504919.93        471415.56        33504.37        6623        506206        99.42        1286.07        76.43        504919.93        471415.56        33504.37
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        12        Standard        Theta 12 Pack Standard        Regular        4514        328711        100        835.12        72.82        327875.88        306118.91        21756.97        4514        328711        100        835.12        72.82        327875.88        306118.91        21756.97
01/01/2011        Jan-11        Hypermarkets        Black Mesa        Theta        18        Standard        Theta 18 Pack Standard        Regular        16594        999335        98.39        2538.91        60.22        996796.09        930652.88        66143.21        16594        999335        98.39        2538.91        60.22        996796.09        930652.88        66143.21
